age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,blue-collar,married,primary,no,4319,no,no,cellular,16,apr,266,1,-1,0,unknown,no
39,technician,married,primary,no,644,yes,no,unknown,15,may,110,1,-1,0,unknown,no
51,blue-collar,married,primary,no,3844,no,no,cellular,15,mar,195,2,215,1,other,no
30,management,married,unknown,no,385,no,no,cellular,26,may,56,2,97,2,other,no
34,management,single,tertiary,no,612,no,no,cellular,30,apr,192,1,-1,0,unknown,no
30,blue-collar,married,unknown,no,198,yes,no,unknown,21,may,149,3,-1,0,unknown,no
30,student,single,tertiary,no,34,yes,no,unknown,6,may,289,1,-1,0,unknown,no
29,technician,married,tertiary,no,4557,no,no,cellular,28,jan,103,2,-1,0,unknown,no
31,technician,married,secondary,no,4941,yes,no,unknown,23,may,504,1,-1,0,unknown,no
49,services,married,primary,no,1830,yes,no,cellular,15,feb,136,1,-1,0,unknown,yes
48,housemaid,single,primary,no,46,no,no,cellular,3,aug,113,2,180,1,failure,yes
28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,yes
35,blue-collar,single,secondary,no,3623,no,no,telephone,30,oct,160,1,-1,0,unknown,yes
46,management,married,tertiary,no,385,yes,no,unknown,29,may,52,4,-1,0,unknown,no
26,self-employed,single,tertiary,no,82,yes,no,cellular,17,jul,200,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,1103,yes,yes,cellular,4,feb,101,2,250,4,failure,no
30,services,single,secondary,no,732,yes,no,cellular,17,apr,358,2,-1,0,unknown,no
38,management,married,tertiary,no,216,yes,no,unknown,21,may,1307,1,-1,0,unknown,no
35,admin.,single,secondary,no,321,no,no,cellular,21,jul,143,1,412,3,other,yes
57,services,married,secondary,no,197,no,no,unknown,16,jun,116,1,-1,0,unknown,no
42,admin.,married,secondary,no,105,no,no,unknown,11,jun,1159,4,-1,0,unknown,yes
30,services,single,secondary,no,326,yes,no,cellular,14,may,197,4,-1,0,unknown,no
33,admin.,married,secondary,no,51,yes,yes,cellular,25,oct,253,1,284,3,success,yes
35,services,divorced,secondary,no,742,no,no,cellular,28,jul,83,7,-1,0,unknown,no
30,blue-collar,single,secondary,no,332,no,no,cellular,14,jul,465,3,-1,0,unknown,no
41,admin.,married,secondary,no,1672,yes,no,cellular,25,jul,148,1,-1,0,unknown,no
40,technician,divorced,secondary,no,-1,no,no,unknown,9,jun,24,1,-1,0,unknown,no
55,admin.,married,secondary,no,512,no,no,cellular,18,aug,115,4,-1,0,unknown,no
51,management,married,tertiary,no,941,yes,yes,cellular,18,jul,252,6,-1,0,unknown,no
70,retired,married,secondary,no,1164,no,no,telephone,14,may,338,3,185,2,failure,no
38,technician,single,secondary,no,1019,yes,no,cellular,6,may,249,1,-1,0,unknown,no
42,admin.,married,secondary,no,-465,no,yes,cellular,23,jul,102,1,-1,0,unknown,no
28,technician,married,secondary,no,1944,yes,no,telephone,18,may,21,7,-1,0,unknown,no
42,technician,married,secondary,no,-350,yes,yes,unknown,30,may,149,1,-1,0,unknown,no
33,services,single,secondary,no,170,no,no,cellular,7,jul,782,1,-1,0,unknown,yes
34,blue-collar,single,primary,no,0,yes,yes,cellular,21,jul,100,2,-1,0,unknown,no
28,services,single,tertiary,no,2938,yes,no,cellular,23,jul,184,2,-1,0,unknown,no
44,admin.,married,secondary,no,764,yes,no,cellular,3,sep,232,1,213,1,failure,no
45,management,married,tertiary,no,786,no,no,cellular,10,sep,84,3,-1,0,unknown,yes
49,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no
25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,-1,0,unknown,yes
35,technician,single,tertiary,no,632,no,no,cellular,7,aug,141,1,-1,0,unknown,no
55,services,divorced,secondary,no,0,no,no,cellular,27,sep,262,6,193,4,success,yes
46,management,married,tertiary,no,716,yes,yes,cellular,8,may,557,1,172,1,failure,no
30,admin.,divorced,secondary,no,891,no,no,cellular,15,may,340,2,368,1,failure,no
33,technician,single,secondary,no,121,no,no,cellular,26,aug,210,6,-1,0,unknown,no
32,technician,single,secondary,no,12,no,no,cellular,7,aug,173,2,-1,0,unknown,no
28,management,single,tertiary,no,231,yes,yes,cellular,25,jul,568,2,-1,0,unknown,no
35,services,single,secondary,no,5551,yes,no,cellular,20,nov,258,1,-1,0,unknown,no
57,management,married,secondary,no,2155,no,yes,cellular,10,nov,144,3,91,2,failure,yes
41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,yes
51,services,married,unknown,no,224,yes,no,unknown,29,may,52,3,-1,0,unknown,no
51,unemployed,divorced,primary,no,2244,no,no,telephone,28,jan,360,2,-1,0,unknown,no
32,management,married,tertiary,no,2853,yes,yes,cellular,4,feb,419,1,-1,0,unknown,no
37,management,married,tertiary,no,3723,no,no,cellular,22,may,354,1,-1,0,unknown,yes
30,admin.,single,tertiary,no,0,yes,no,cellular,11,may,56,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,-1,0,unknown,yes
36,management,single,tertiary,no,335,no,no,unknown,10,oct,5,1,772,4,failure,no
46,management,married,tertiary,no,1808,no,no,cellular,8,aug,172,2,-1,0,unknown,no
62,retired,married,secondary,no,1495,no,no,cellular,2,feb,265,1,-1,0,unknown,yes
32,admin.,single,tertiary,no,298,no,no,cellular,8,aug,494,1,-1,0,unknown,no
37,blue-collar,single,secondary,no,197,yes,no,unknown,16,may,251,3,-1,0,unknown,no
38,management,married,tertiary,no,0,no,no,cellular,12,aug,119,2,-1,0,unknown,no
59,blue-collar,married,primary,no,3540,no,no,cellular,8,jul,165,1,-1,0,unknown,no
57,retired,married,primary,no,2927,no,yes,telephone,30,jul,78,5,-1,0,unknown,no
59,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,3,-1,0,unknown,yes
37,management,married,tertiary,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,no
44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,1232,3,146,1,other,yes
32,admin.,married,secondary,no,1785,yes,no,cellular,18,nov,51,2,154,6,other,no
39,blue-collar,married,secondary,no,125,yes,no,unknown,8,may,142,1,-1,0,unknown,no
36,technician,single,secondary,no,651,no,no,cellular,7,aug,876,1,-1,0,unknown,yes
36,blue-collar,single,secondary,no,40,yes,no,cellular,27,aug,259,3,475,4,success,yes
57,retired,married,secondary,no,455,yes,no,cellular,7,may,361,1,-1,0,unknown,no
60,admin.,married,secondary,no,12210,yes,no,unknown,19,may,256,1,-1,0,unknown,no
41,blue-collar,married,primary,no,0,yes,no,cellular,8,may,171,1,368,1,failure,no
70,management,married,tertiary,no,5563,no,no,cellular,6,feb,146,1,-1,0,unknown,no
41,management,divorced,unknown,no,465,yes,no,cellular,22,jul,1508,1,-1,0,unknown,yes
35,management,single,tertiary,no,3137,yes,no,unknown,23,may,72,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,0,yes,yes,unknown,28,may,219,3,-1,0,unknown,no
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,no
48,blue-collar,single,primary,no,623,yes,no,cellular,2,feb,1425,2,-1,0,unknown,yes
48,admin.,divorced,secondary,no,0,yes,yes,cellular,23,jun,248,1,89,1,failure,no
42,admin.,single,unknown,no,22,no,no,unknown,19,jun,246,3,-1,0,unknown,no
42,technician,married,secondary,no,4791,yes,no,unknown,30,may,88,2,-1,0,unknown,no
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,yes
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,yes
46,blue-collar,married,primary,no,1303,no,no,cellular,4,aug,174,1,-1,0,unknown,no
31,management,married,tertiary,no,156,no,no,cellular,20,aug,77,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,313,yes,no,cellular,20,apr,172,2,343,3,other,no
54,management,married,tertiary,no,1168,no,no,telephone,4,may,150,5,-1,0,unknown,no
50,blue-collar,married,primary,no,82,no,no,telephone,5,apr,456,1,-1,0,unknown,yes
30,blue-collar,single,primary,no,253,yes,no,cellular,5,may,259,1,-1,0,unknown,yes
30,technician,single,secondary,no,276,no,yes,cellular,25,aug,159,5,-1,0,unknown,no
61,retired,married,primary,no,-156,yes,yes,unknown,2,jun,283,5,-1,0,unknown,no
42,management,married,tertiary,no,1162,yes,no,cellular,13,may,406,5,364,1,other,no
46,blue-collar,married,primary,no,-1,no,no,unknown,18,jun,35,3,-1,0,unknown,no
67,retired,married,primary,no,2391,no,no,cellular,28,jun,737,6,186,10,other,yes
42,technician,married,secondary,no,827,no,no,cellular,25,aug,153,3,-1,0,unknown,no
33,technician,married,secondary,no,3243,no,no,cellular,12,aug,439,4,-1,0,unknown,yes
32,technician,single,tertiary,no,388,no,no,cellular,2,aug,100,8,95,3,success,no
28,services,married,secondary,no,1214,no,no,unknown,28,may,582,1,-1,0,unknown,no
30,technician,married,tertiary,no,1103,yes,yes,cellular,29,jul,148,15,-1,0,unknown,no
36,management,divorced,tertiary,no,5195,yes,no,unknown,2,jun,55,25,-1,0,unknown,no
58,management,married,tertiary,no,246,yes,no,cellular,7,may,245,2,288,2,failure,no
48,admin.,married,secondary,no,13551,no,no,unknown,11,jun,89,3,-1,0,unknown,no
49,services,married,secondary,no,180,yes,yes,unknown,2,jun,392,3,-1,0,unknown,no
32,admin.,married,secondary,no,51,yes,yes,cellular,14,jan,203,1,87,2,other,yes
38,unemployed,married,tertiary,no,9881,no,no,cellular,29,jul,497,2,-1,0,unknown,no
28,services,single,secondary,no,298,no,no,cellular,29,jan,914,2,-1,0,unknown,no
51,admin.,married,secondary,no,113,yes,no,cellular,17,nov,84,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,-1,0,unknown,yes
55,admin.,married,secondary,no,859,no,no,telephone,12,may,148,6,308,1,failure,no
27,self-employed,single,tertiary,no,-503,yes,no,unknown,9,may,98,3,-1,0,unknown,no
71,retired,married,tertiary,no,3561,no,no,telephone,15,mar,577,7,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,-158,yes,no,cellular,21,jul,42,6,-1,0,unknown,no
31,technician,single,secondary,no,846,no,no,cellular,26,may,405,3,205,2,failure,yes
33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,1,141,3,other,yes
54,housemaid,married,primary,no,179,no,no,cellular,22,aug,132,2,-1,0,unknown,no
46,management,married,tertiary,no,3115,no,no,cellular,18,aug,134,2,-1,0,unknown,no
35,technician,single,secondary,no,399,yes,no,cellular,13,may,496,2,345,3,failure,yes
35,technician,divorced,secondary,no,-870,yes,no,cellular,14,jul,180,4,-1,0,unknown,no
48,admin.,single,secondary,no,3531,yes,no,cellular,20,apr,81,2,287,6,failure,no
27,technician,single,secondary,no,740,yes,no,cellular,5,may,294,1,-1,0,unknown,no
43,management,married,tertiary,no,354,no,no,cellular,14,aug,169,10,-1,0,unknown,no
42,management,divorced,tertiary,no,0,no,no,unknown,20,jun,85,2,-1,0,unknown,no
47,management,married,tertiary,no,761,yes,no,cellular,11,jul,80,2,-1,0,unknown,no
46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,no
39,admin.,married,unknown,no,3252,no,no,cellular,21,aug,298,1,-1,0,unknown,no
31,admin.,single,secondary,no,626,yes,no,unknown,21,may,211,1,-1,0,unknown,no
55,services,divorced,secondary,no,0,no,no,cellular,27,sep,262,6,193,4,success,yes
38,blue-collar,married,primary,no,-522,yes,yes,unknown,20,jun,18,22,-1,0,unknown,no
39,blue-collar,single,primary,no,1522,no,no,unknown,17,jun,164,4,-1,0,unknown,no
51,blue-collar,married,primary,no,296,yes,no,cellular,4,may,211,5,-1,0,unknown,no
32,services,divorced,secondary,no,454,yes,no,cellular,18,jul,978,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,-283,yes,no,cellular,18,may,24,2,349,2,other,no
51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,jul,655,4,-1,0,unknown,yes
42,management,married,secondary,no,1042,yes,no,cellular,11,may,465,1,364,3,other,no
34,management,single,tertiary,no,681,no,no,cellular,6,aug,637,2,-1,0,unknown,yes
47,services,married,unknown,no,11,no,no,cellular,8,aug,455,4,-1,0,unknown,no
40,technician,divorced,secondary,no,841,no,yes,telephone,29,aug,36,2,-1,0,unknown,no
36,technician,married,secondary,no,186,yes,no,cellular,12,may,187,3,-1,0,unknown,no
70,retired,divorced,primary,no,482,no,no,telephone,14,jul,413,1,181,3,success,yes
27,admin.,married,secondary,no,1595,no,no,cellular,29,dec,196,2,197,2,success,yes
23,student,single,secondary,no,287,no,no,telephone,3,mar,700,3,180,1,other,no
49,blue-collar,married,secondary,no,59,yes,no,unknown,9,jun,154,10,-1,0,unknown,no
77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,yes
33,services,married,secondary,no,360,yes,no,cellular,29,jan,103,1,185,13,other,no
42,management,married,secondary,no,275,yes,no,cellular,6,may,139,6,-1,0,unknown,no
38,services,married,secondary,no,133,yes,no,unknown,27,may,267,1,-1,0,unknown,no
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,yes
45,blue-collar,married,secondary,no,7895,yes,no,cellular,4,feb,872,1,-1,0,unknown,yes
45,management,married,tertiary,no,2022,no,no,unknown,30,may,340,1,-1,0,unknown,no
35,management,married,tertiary,no,43,yes,no,cellular,20,apr,860,1,-1,0,unknown,yes
38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,1,-1,0,unknown,yes
35,blue-collar,married,secondary,no,402,no,yes,unknown,17,jun,123,1,-1,0,unknown,no
53,technician,married,secondary,no,1776,no,no,unknown,18,jun,443,7,-1,0,unknown,no
49,services,single,secondary,no,459,yes,no,unknown,19,may,58,10,-1,0,unknown,no
71,retired,married,tertiary,no,3561,no,no,telephone,15,mar,577,7,-1,0,unknown,yes
40,services,single,secondary,no,-61,yes,yes,unknown,16,may,698,9,-1,0,unknown,no
31,technician,divorced,secondary,no,646,yes,no,unknown,30,may,294,3,-1,0,unknown,no
34,management,single,tertiary,no,966,yes,no,cellular,21,nov,393,1,101,3,failure,no
33,management,single,tertiary,no,1308,no,no,cellular,7,aug,194,6,-1,0,unknown,no
33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,1,141,3,other,yes
33,blue-collar,single,secondary,no,17,yes,no,unknown,21,may,288,1,-1,0,unknown,no
50,management,divorced,tertiary,no,1349,yes,yes,cellular,28,jan,326,1,-1,0,unknown,no
43,entrepreneur,single,tertiary,no,0,yes,no,unknown,26,may,142,3,-1,0,unknown,no
43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,504,yes,no,unknown,28,may,260,2,-1,0,unknown,no
28,student,single,secondary,no,0,yes,no,unknown,15,may,133,3,-1,0,unknown,no
32,housemaid,married,primary,no,67,yes,no,cellular,16,jul,95,4,-1,0,unknown,no
29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,yes
52,management,married,tertiary,no,2428,yes,no,cellular,28,jul,61,3,-1,0,unknown,no
36,management,married,tertiary,no,51,yes,no,cellular,18,nov,464,1,-1,0,unknown,no
44,blue-collar,married,primary,no,711,no,no,unknown,17,jun,291,1,-1,0,unknown,no
51,services,married,primary,no,56,no,yes,cellular,24,jul,149,2,-1,0,unknown,no
41,management,divorced,tertiary,no,3355,no,no,cellular,14,oct,181,2,500,1,failure,no
47,services,married,secondary,no,759,yes,no,telephone,8,may,75,1,323,2,failure,no
25,technician,single,secondary,no,50,yes,no,cellular,8,may,191,1,-1,0,unknown,no
39,services,single,secondary,no,600,no,no,cellular,7,apr,277,1,-1,0,unknown,no
25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,yes
51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,8,1,687,2,failure,no
33,management,married,tertiary,no,349,yes,yes,cellular,28,jul,62,3,-1,0,unknown,no
59,retired,married,unknown,no,1116,no,no,cellular,7,aug,149,2,99,1,failure,no
72,retired,married,secondary,no,0,no,no,cellular,29,oct,189,3,-1,0,unknown,yes
57,retired,divorced,tertiary,no,241,no,yes,cellular,5,aug,146,1,-1,0,unknown,no
35,technician,married,secondary,no,-360,yes,no,cellular,21,jul,169,1,-1,0,unknown,no
37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,no
43,blue-collar,divorced,secondary,no,110,yes,yes,unknown,6,may,448,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,381,yes,no,unknown,12,may,102,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,274,yes,yes,unknown,20,may,205,1,-1,0,unknown,no
39,unemployed,married,secondary,no,2245,no,no,cellular,21,nov,749,2,-1,0,unknown,yes
50,services,married,secondary,no,77,no,no,cellular,27,may,138,2,-1,0,unknown,no
44,unemployed,married,secondary,yes,-505,yes,no,unknown,3,jun,113,11,-1,0,unknown,no
36,services,single,secondary,no,528,no,no,cellular,3,feb,225,2,-1,0,unknown,no
45,technician,married,secondary,no,3395,yes,no,unknown,14,may,215,1,-1,0,unknown,no
43,blue-collar,married,unknown,no,1123,yes,no,cellular,16,apr,191,2,322,3,failure,no
33,services,single,secondary,no,170,no,no,cellular,7,jul,782,1,-1,0,unknown,yes
48,management,married,tertiary,no,3842,no,no,cellular,1,jun,215,2,-1,0,unknown,yes
24,student,single,secondary,no,1234,no,no,telephone,26,oct,280,2,97,3,success,no
45,management,divorced,tertiary,no,220,yes,no,unknown,18,jun,89,4,-1,0,unknown,no
35,technician,single,secondary,no,399,yes,no,cellular,13,may,496,2,345,3,failure,yes
57,housemaid,married,primary,no,0,no,no,unknown,17,jun,187,2,-1,0,unknown,no
45,management,divorced,tertiary,no,-255,yes,yes,unknown,28,may,128,2,-1,0,unknown,no
21,student,single,secondary,no,357,no,no,cellular,2,sep,115,3,-1,0,unknown,no
33,blue-collar,divorced,unknown,yes,-274,yes,yes,cellular,17,apr,715,2,329,2,failure,yes
32,blue-collar,single,secondary,no,551,yes,no,cellular,14,aug,99,3,-1,0,unknown,no
57,technician,divorced,tertiary,no,0,yes,no,cellular,31,jul,24,16,-1,0,unknown,no
30,services,single,secondary,no,0,yes,no,cellular,18,may,131,6,363,9,failure,no
31,services,married,secondary,yes,-455,no,yes,cellular,16,jul,168,2,-1,0,unknown,no
31,student,single,tertiary,no,64,no,no,cellular,15,sep,208,1,105,2,success,no
61,retired,divorced,secondary,no,291,no,no,cellular,24,jul,286,5,-1,0,unknown,no
45,technician,divorced,tertiary,no,10768,yes,no,cellular,2,jun,147,3,78,2,failure,no
56,self-employed,married,secondary,no,14,no,no,cellular,16,jul,239,1,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success,yes
31,self-employed,married,tertiary,no,2666,no,no,telephone,8,jul,411,2,148,9,other,yes
38,management,married,tertiary,no,881,no,yes,unknown,6,jun,79,2,-1,0,unknown,no
44,management,divorced,tertiary,no,935,no,no,cellular,11,aug,70,5,-1,0,unknown,no
49,blue-collar,divorced,secondary,no,-464,yes,no,cellular,16,apr,82,1,-1,0,unknown,no
54,entrepreneur,married,unknown,no,1956,no,no,cellular,19,nov,221,5,-1,0,unknown,no
32,blue-collar,married,primary,no,233,yes,no,cellular,15,may,391,2,-1,0,unknown,no
29,technician,single,secondary,no,323,no,no,cellular,27,aug,148,2,94,1,other,no
54,blue-collar,married,secondary,no,2059,yes,no,cellular,25,aug,177,4,-1,0,unknown,no
33,management,married,tertiary,no,0,yes,no,cellular,17,apr,378,1,-1,0,unknown,yes
49,entrepreneur,married,secondary,no,2655,no,no,cellular,17,nov,63,1,-1,0,unknown,no
30,management,single,tertiary,no,73,no,no,cellular,25,aug,114,6,-1,0,unknown,no
40,services,married,secondary,no,405,no,no,unknown,20,jun,87,3,-1,0,unknown,no
33,admin.,single,secondary,no,375,yes,no,cellular,17,apr,151,1,-1,0,unknown,no
53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
31,admin.,single,secondary,no,-302,yes,yes,unknown,27,may,235,5,-1,0,unknown,no
62,housemaid,married,tertiary,no,1528,no,no,cellular,14,apr,496,1,-1,0,unknown,yes
32,management,single,tertiary,no,1131,yes,no,unknown,20,may,267,2,-1,0,unknown,no
47,management,divorced,tertiary,no,1149,no,yes,cellular,15,jul,82,2,-1,0,unknown,no
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes
40,unemployed,single,tertiary,no,72,no,no,cellular,30,apr,463,1,-1,0,unknown,yes
34,management,single,tertiary,no,3035,no,no,cellular,20,nov,1166,1,-1,0,unknown,no
